class_index,review_title,review_text
1,noth new,it alway irk me to pay to read a book that is suppos to grace you with insid inform onli to find that noth new is deliv anyon who is reason well vers on current event or on thi topic specif will scratch their head wonder where is the untold stori in thi slim 168 page tome save your money
1,unabl to test it i m not in the us,i tri to purchas a clic reader unfortun i wa not allow to do so as i live in australia the idea sound great and probabl lot of my friend in our embroideri group and their friend would have been interest as well but i can t purchas the initi set bit short sight i definit will not buy at an inflat price at your choic of import
1,not worth it,spark when you plug the ac adapt into the case doesn t fulli support larg drive and while plug in prevent my other usb devic from function it junk just use a paper weight now
1,whi bother,thi is the japanes version of the first album there are no bonu track or special featur of ani kind don t wast your money
1,not compat with 2nd gener nano s,be awar the belkin f8z063 blk tunebas fm for ipod nano is not compat with the 2nd gener nano i am return mine to amazon and buy a compat one from the appl store
1,worst global underground ever,were the publish on vacat or just out to lunch i reli on global underground to not releas crap and thi is noth short of crap i have bought everi global underground cd and dvd they sell and thi is by far not of the calibur i am use to receiv extrem disappoint especi come from sasha who s involv is one of the all time greatest mix i have ever heard what happen i think we need a public apolog from the presid of global underground pleas do not buy thi album so they get the messag i feel total burn thi time for the first time
1,worst book ever,hoot wa a blad and pathet stori about a book name roy do not read it will save you the horror read other book like warrior cat
1,g auxier,i found thi book to be just too wordi the concept wa good children do blame themselv for divorc and look for reason whi they caus divorc but thi book is more for adult to understand how children come to those conclus rather than someth that would help a child understand i felt that it wa condescend and not at all believ in term of what a child would say
1,cooldaddi is too cold,length 3 00 minsi realli want to like thi one but as anyon who know anyth about fryer know temp is key thi one wa at least 40 degre low w o food and 60 degre low with onli one tortilla worth of chip that tell me that in addit to the thermostat be off the oil contain doesn t have enough mass oil ha about half the thermal mass of water so a big thick metal oil contain is need for a quick temperatur rebound 375 is bare enough for most fri but 310 is too low that mean greasi food and a clog heart return
1,are you kid me,peopl gave thi movi 5 star what are you the produc or someth thi is one of the worst movi i ve ever seen if you can even call it a movi if you like absolut terribl tranc music and scene that drag on too for lack of good edit mayb the cover for thi look awesom but i couldn t wait until it wa over it took me four or five time to get through it no lie the plot is stupid the act is terribl and half the scene are just strobe light and sound effect in a club buy someth better with your money
1,weak link,great look lamp the problem is the middl connect the thread are so loos that it almost but doesn t quit catch after examin it it s clear someon use the tape contractor use to be sure thread are seal for plumb which can be a fine solut but is not adequ in thi case from read other review it appear that the problem is perhap random not good enough for me will be return the lamp
1,fight terror,anoth piec of trash good to line bird cage with what about the terror practis against the palestinian peopl i call that ethnic cleans do not wast your money
1,just have to knock thi one,we normal love dora the explor but thi video is mar by a danger messag i would not recommend buy it dora encount a giant who tell her he is sad b c he ha lost hi puppi and she help him find it and encourag the kid to do the same hello as other review have note such stori have been use as ploy by predat to lure children although i use the opportun to tell my 5 year old that dora actual did not make a safe choic there and she should never do anyth like that young children are so impression that i wish she had not seen it in the first place
1,new photo or same as in the twin book,it would be veri help to know whether the photograph depict on these card are the same as or differ from photograph appear in underhil s twin book do the card in fact duplic photo alreadi in the book or are they new and uniqu shot of the twin would someon who ha purchas both the book and the card let the rest of us know thank
1,not kid or parent friendli,we bought thi as a christma present and one month later i am still tri to download video custom servic call were a wast of time i ask how i could upload kid friendli video in wmv format and hi repli wa how should i know for a disney product you would think it would be more user friendli don t wast your time unless you want to use the video clip onli i am give up and return it
1,possibl the worst cd ever made,no origin no talent poorli craft song if you are abov the age of 13 and or have actual knowledg of real music i highli recommend you overlook thi album the sad thing is that these talentless poser fli the punk rock flag do noth but tarnish the hard earn reput of such great band as the descend and the dead kennedi if you buy thi album and think you re punk rock you either need a dictionari or a smack in the face it s band like these that make me thank god i am not into the radio friendli garbag most record label are throw in our face these day
1,horribl product,the ship wa veri fast but the product wa damag the metal area are all discolor and some of the color is come off on the case it self the flap is veri hard to open and close just complet not satisfi with thi product
1,fals advertis,i expect disney s littl mermaid and got thi weaker version if it had been an amaz anim i would have been happi but the anim wa just so so and the stori wa differ
1,bad invest,thi straighten wa faulti from the first day of use it wouldn t stay on long enough to finish straighten press the re set button onli work for a few minut and then it wa back off again i found out the warranti for the product wa not worth anyth if the product wa purchas onlin good inform to know wish that inform had been disclos befor purchas so i went to an author dealer and bought an authent chi with a 4 year warranti that i can actual use if it break
1,shoddi product,i wa disappoint by my recent purchas of the ms2 390 microscreen recharg cord men s shaver within 3 week the pop up whisker shaver spring wa broken where i must tape it down with duct tape in order to continu shave with it until i can contact remington s custom servic i bought it to replac the same shaver becaus after 3 year the batteri doe not recharg for long and i cannot just plug the previou shaver into the socket as advertis and use it on ac in addit the previou remington rubber on button had deterior if i do not get quick satisfact i will go back to norelco
1,ridicul middl eastern stereotyp,not sinc salli field s flight from a pack of stereotyp viciou and stupid iranian fundamentalist in not without my daughter ha an american film paint such a close mind pictur of middl eastern peopl the arab or persian portray in thi movi we re never actual told exactli what they are the art be smuggl is persian but the terrorist are refer to as arab have no identifi redeem qualiti other than that they re appar quit adept at theiv massiv work of art and wage war on us american thi film is yet anoth exploit of the transfer of american fear and anger from the commi russian to the insan muslim in the post cold war period they didn t even make a half heart attempt to soften the blow to arab persian cultur by cast an actor of middl eastern heritag on the good guy side ala the star power of arni will be too much to dissuad anyon from view thi movi
1,easili the worst book i have ever read,i am not kid a drunk retard 3rd grader could have written a better book if you like poor edit of terribl write that introduc absolut noth new about robertson or tiger then thi book is for you otherwis just read some old articl and save a coupl hour and 20 buck the onli reason it got one star is that amazon doe not allow a review to give neg star of which strachman certainli ha earn mani for thi effort or lack thereof
1,whi do these stupid celebritiesget polit,i m so sick of these rich celebr feel like they have the right to talk about american foreign polici it s absolut ridicul peopl like tobi keith should shut up about american foreign polici becaus they don t know anyth about it i use to enjoy hi music but hi turn toward jingoist support of american polici ha sicken me he s just as bad as bill o reilli sean penn alec baldwin michael moor that guy who s make michael moor hate america and barbara streisand so shut up tobi i don t care what you think
1,poo poo,i must agre luv let the poo goo out they absorb pee just fine but the messi poo seepag stink if i want to clean poop out of the carpet carseat etc i would have opt for the reuseabl diaper but i want to throw the mess in the trash where it goe not along with my littl one cloth i have 3 kid and have found that ani brand work better i prefer cottontail giant brand or playskool which i can onli find at cv then again luv work just fine for those who expect that poo wa meant to goo
1,wa open on arriv,thi arriv today the packag wa seal but after open the packag i found that the cheap plastic cover wa total off the tamarind past and the seal wa even broken obvious i won t be eat it
1,will the real slim shadi pleas shut up,thi cd is well i will just explain it to you he is veri offens in some of hi lyric he talk about hi mom in the worst way you could think of but i have never met her so i wouldn t realli know what she is like but you still shouldn t tell the whole world about it and there is just someth about thi cd that is not good it is just like you hear it and your like that is ok but i would never buy it now on the other hand he is kinda sweet about hi song about hali and hi song with hali but even with the song with hali he say cuss word and hi daughter is gonna hear that ya know so if i were you i would onli listen to thi cd when i could get the chanc if my friend had it but i would not buy it for myself becuz it would just get all dusti sit around
